CONSECUTIVO;LETRA;CATALOG_KEY;NOMBRE;CAPITULO
165;A;A281;ENFERMEDAD POR RASGUÑO DE GATO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
166;A;A282;YERSINIOSIS EXTRAINTESTINAL;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
167;A;A288;OTRAS ENFERMEDADES ZOONÓTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
168;A;A289;ENFERMEDAD ZOONÓTICA BACTERIANA, SIN OTRA ESPECIFICACIÓN;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
169;A;A30;LEPRA [ENFERMEDAD DE HANSEN];CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
170;A;A300;LEPRA INDETERMINADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
171;A;A301;LEPRA TUBERCULOIDE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
172;A;A302;LEPRA TUBERCULOIDE LIMÍTROFE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
173;A;A303;LEPRA LIMÍTROFE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
174;A;A304;LEPRA LEPROMATOSA LIMÍTROFE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
175;A;A305;LEPRA LEPROMATOSA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
176;A;A308;OTRAS FORMAS DE LEPRA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
177;A;A309;LEPRA, NO ESPECIFICADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
178;A;A31;INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
179;A;A310;INFECCIONES POR MICOBACTERIAS PULMONARES;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
180;A;A311;INFECCIÓN CUTÁNEA POR MICOBACTERIAS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
181;A;A318;OTRAS INFECCIONES POR MICOBACTERIAS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
182;A;A319;INFECCIÓN POR MICOBACTERIA, NO ESPECIFICADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
183;A;A32;LISTERIOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
184;A;A320;LISTERIOSIS CUTÁNEA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
185;A;A321;MENINGITIS Y MENINGOENCEFALITIS LISTERIANA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
186;A;A327;SEPSIS LISTERIANA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
187;A;A328;OTRAS FORMAS DE LISTERIOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
188;A;A329;LISTERIOSIS, NO ESPECIFICADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
189;A;A33X;TÉTANOS NEONATAL;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
190;A;A34X;TÉTANOS OBSTÉTRICO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
191;A;A35X;OTROS TÉTANOS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
192;A;A36;DIFTERIA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
